S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
102,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,"828,750.00",100.00,2022-02-23,2022-02-27,2022-03-09,2022-03-27,Global IME Capital Ltd.,Closed,
103,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,"850,000.00",100.00,2022-02-16,2022-02-20,2022-03-02,2022-03-10,NIBL Ace Capital Ltd.,Closed,
104,ENL,Emerging Nepal Limited,"555,600.00",100.00,2022-02-09,2022-02-13,2022-02-23,2022-03-04,NIC Asia Capital Ltd.,Closed,
105,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,"522,000.00",100.00,2022-02-04,2022-02-08,2022-02-18,2022-03-11,Prabhu Capital Ltd.,Closed,
106,SPC,Samling Power Company Limited,"730,000.00",100.00,2021-10-21,2021-10-25,2021-11-04,2021-11-24,Nepal SBI Merchant Banking Ltd,Closed,
107,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,"9,000,000.00",100.00,2021-10-06,2021-10-11,2021-10-20,2021-12-23,Global IME Capital Ltd.,Closed,
108,NYADI,Nyadi Hydropower  Limited,"2,250,000.00",100.00,2021-10-01,2021-10-05,2021-10-17,2021-11-24,Global IME Capital Ltd,Closed,
109,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,"800,000.00",100.00,2021-09-27,2021-09-30,2021-10-11,2022-01-16,Civil Capital Market Ltd,Closed,
110,SAHAS,Sahas Urja Limited,"7,000,000.00",100.00,2021-09-22,2021-09-26,2021-10-06,2021-10-28,NIBL Ace Capital Limited,Closed,
111,TPC,Terhathum Power Company Limited,"800,000.00",100.00,2021-08-25,2021-08-29,2021-09-08,2021-10-28,NIBL ACE Capital Limited,Closed,
112,MKJC,Mailung Khola Jal Vidhyut Company Limited,"736,286.00",100.00,2021-07-29,2021-08-02,2021-08-12,2021-09-21,Siddhartha Capital Limited,Closed,
113,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,"393,750.00",100.00,2021-08-11,2021-08-15,2021-08-25,2021-09-26,Nepal SBI Merchant Banking Ltd,Closed,
114,SLI,Sanima Life Insurance Company Limited,"6,000,000.00",100.00,2021-08-04,2021-08-08,2021-08-18,2021-09-01,Prabhu Capital Ltd.,Closed,
115,ULI,Union Life Insurance Company Limited,"6,450,000.00",100.00,2021-07-08,2021-07-12,2021-07-22,2021-08-01,Prabhu Capital Ltd.,Closed,
116,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,"389,000.00",100.00,2021-07-01,2021-07-05,2021-07-15,2021-08-01,NMB Capital Ltd,Closed,
117,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,"1,977,300.00",100.00,2021-06-25,2021-06-29,2021-07-09,2021-07-28,NMB Capital Ltd,Closed,
118,CHDC,CEDB Holdings Limited,"2,518,230.00",100.00,2021-04-30,2021-05-04,2021-05-14,2021-06-08,Sunrise Capital Ltd,Closed,
119,RURU,Ru Ru Jalbidhyut Pariyojana Limited,"407,706.00",120.00,2021-04-02,2021-04-06,2021-04-16,2021-05-02,NMB Capital Ltd.,Closed,
120,SHEL,Singati Hydro Energy Limited,"2,900,000.00",100.00,2021-03-19,2021-03-23,2021-04-02,2021-04-27,Mega Capital Markets Ltd,Closed,
121,JLI,Jyoti Life Insurance Company Limited,"6,600,000.00",100.00,2021-03-05,2021-03-10,2021-03-19,2021-04-06,NMB Capital Ltd,Closed,
122,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,"400,000.00",100.00,2021-02-12,2021-02-17,2021-02-26,2021-03-15,Nepal SBI Merchant Banking Ltd,Closed,
123,GLH,Greenlife Hydropower Limited,"3,496,400.00",100.00,2021-02-05,2021-02-09,2021-02-19,2021-03-15,BOK Capital Market Limited,Closed,
124,CGH,Chandragiri Hills Limited,"1,534,091.00",100.00,2021-01-08,2021-01-12,2021-01-22,2021-02-05,Global IME Capital Limited,Closed,
125,NIFRA,Nepal Infrastructure Bank Limited,"80,000,000.00",100.00,2021-01-15,2021-01-19,2021-01-29,2021-02-11,NIBL Ace Capital Limited,Closed,
126,PLI,Prabhu Life Insurance Limited,"6,000,000.00",100.00,2020-12-14,2020-12-17,2020-12-28,2021-01-01,Siddhartha Capital Limited,Closed,
127,MEN,Mountain Energy Nepal Limited,"1,968,027.00",100.00,2020-11-11,2020-11-18,2020-11-25,2020-12-15,Nabil Investment Banking Limited,Closed,
128,UMRH,United Idi-Mardi and R.B. Hydropower Limited,"873,910.00",100.00,2020-11-18,2020-11-22,2020-12-02,2020-12-18,Global IME Capital Limited,Closed,
129,SGI,Sanima General Insurance Limited,"3,000,000.00",100.00,2020-10-07,2020-10-11,2020-10-22,2020-11-03,NIC Asia Capital Limited,Closed,
130,GIC,General Insurance Company Nepal Limited,"3,000,000.00",100.00,2020-09-27,2020-09-30,2020-10-11,2020-10-12,NIBL Ace Capital Ltd.,Closed,
131,SAMAJ,Samaj Laghubitta Bittiya Sanstha Limited,"86,000.00",100.00,2020-08-20,2020-08-24,2020-09-03,2020-09-24,Siddhartha Capital Limited,Closed,
132,RLI,Reliance Life Insurance Limited,"6,300,000.00",100.00,2020-08-20,2020-08-24,2020-09-07,2020-09-07,Sanima Capital Limited,Closed,
133,LEC,Liberty Energy Company Limited,"3,564,930.00",100.00,2020-08-19,2020-08-23,2020-09-02,2020-09-18,NIBL ACE Capital Limited,Closed,
134,NRN,NRN Infrastructure and Development Limited,"3,398,046.00",100.00,2020-07-31,2020-08-05,2020-08-19,2020-08-25,Sanima Capital Limited,Closed,
135,AIL,Ajod Insurance Limited,"3,000,000.00",100.00,2020-07-09,2020-07-13,2020-07-23,2020-07-27,NIBL ACE Capital Limited,Closed,
136,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,"707,800.00",100.00,2020-07-05,2020-07-08,2020-07-19,2020-08-05,Global IME Capital Ltd,Closed,
137,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,"4,755,000.00",100.00,2020-06-24,2020-06-28,2020-07-08,2020-07-08,Sanima Capital Limited,Closed,
138,NRIC,Nepal Reinsurance Company Limited,"16,000,000.00",100.00,2020-03-17,2020-03-20,2020-03-31,2020-06-10,RBB Merchant Banking Limited,Closed,
139,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,"530,000.00",100.00,2019-07-17,2019-07-21,2019-08-15,2019-08-21,NIBL Ace Capital Limited,Closed,
140,HDHPC,Himal Dolakha Hydropower Company Limited,"7,672,210.00",100.00,2019-07-10,2019-08-09,2019-08-09,2020-02-24,Global IME Capital Ltd,Closed,
141,AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,"400,000.00",100.00,2019-07-07,2019-07-10,2019-08-05,2019-08-25,NIBL Ace Capital Limited,Closed,
142,GGBSL,Ghodighoda Laghubitta Bittiya Sanstha Limited,"132,600.00",100.00,2019-07-05,2019-07-09,2019-08-04,2019-07-12,Prabhu Capital Limited,Closed,
143,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,"674,000.00",100.00,2019-05-27,2019-05-30,2019-06-25,2019-09-03,Civil Capital Market Limited,Closed,
144,JLBS,Janasewi Laghubitta Bittiya Sanstha Limited,"463,300.00",100.00,2019-05-10,2019-05-14,2019-06-09,2019-05-14,NMB Capital Limited,Closed,
145,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,"198,610.00",100.00,2019-05-10,2019-05-14,2019-06-09,2019-05-14,Siddhartha Capital Limited,Closed,
146,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,"250,000.00",100.00,2019-04-29,2019-05-03,2019-05-28,2019-05-27,NIBL Ace Capital Ltd.,Closed,
147,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,"335,000.00",100.00,2019-04-22,2019-04-25,2019-05-21,2019-05-19,NIBL Ace Capital Limited,Closed,
148,NAGRO,Nepal Agro Laghubitta Bittiya Sanstha Limited,"161,778.00",100.00,2019-04-21,2019-04-24,2019-05-20,2019-05-17,Nepal SBI Merchant Banking Ltd,Closed,
149,RHPL,Rasuwagadhi Hydropower Company Limited,"10,263,150.00",100.00,2019-04-19,2019-04-25,2019-05-19,2019-08-06,Siddhartha Capital Limited,Closed,
150,SJCL,Sanjen Jalavidhyut Company Limited,"5,475,000.00",100.00,2019-04-19,2019-04-25,2019-05-19,2019-08-06,Citizen Investment Trust,Closed,
151,HURJA,Himalaya Urja Bikas Company Limited,"1,485,000.00",100.00,2019-04-03,2019-04-08,2019-05-02,2019-05-21,Nabil Investment Banking Ltd,Closed,
152,UNHPL,Union Hydropower Limited,"3,534,340.00",100.00,2019-03-27,2019-04-25,2019-04-25,2019-06-11,Laxmi Capital Market Limited,Closed,
153,TVCL,Trishuli Jal Vidhyut Company Limited,"3,705,000.00",100.00,2019-03-21,2019-03-25,2019-04-19,,Global IME Capital Limited,Closed,
154,SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,"269,630.00",100.00,2019-03-10,2019-03-13,2019-04-08,2019-05-05,Sanima Capital Limited,Closed,
155,MHNL,Mountain Hydro Nepal Limited,"1,816,110.00",100.00,2019-03-07,2019-03-12,2019-04-05,2019-04-11,Siddhartha Capital Limited,Closed,
