S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
154,MBL,Machhapuchchhre Bank Limited,10:1.2,"7,918,440.00",100.00,2017-07-19,2017-08-22,2017-05-30,,NMB Capital Ltd.,Closed,,
155,SKDBL,Saptakoshi Development Bank Limited,1:1.3,"2,743,000.00",100.00,2017-07-13,2017-08-24,2017-06-28,,NMB Capital Ltd.,Closed,,
156,HGI,Himalayan General Insurance Company Limited,1:1.7,"6,420,000.00",100.00,2017-07-11,2017-08-24,2017-06-30,2017-12-12,NMB Capital Ltd.,Closed,,
157,GILB,Global IME Laghubitta Bittiya Sanstha Limited,2:1,"282,500.00",100.00,2017-07-08,2017-08-12,2017-06-30,,Civil Capital Market Ltd.,Closed,,
158,ALDBL,Alpine Development Bank Limited,3:2.1,"2,600,754.00",100.00,2017-07-08,2017-08-12,2017-06-04,,NMB Capital Ltd.,Closed,,
159,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,2:1,"150,000.00",100.00,2017-06-18,2017-07-22,2017-05-31,2017-09-14,Prabhu Capital Ltd.,Closed,,
160,IGIL,IME General Insurance Limited,1:1,"2,700,000.00",100.00,2017-06-18,2017-07-23,2017-05-18,2017-10-09,Global IME Capital Ltd.,Closed,,
161,SRBL,Sunrise Bank Limited,10:3,"16,359,636.00",100.00,2017-05-29,2017-07-02,2017-05-13,,Prabhu Capital Ltd.,Closed,,
162,SBL,Siddhartha Bank Limited,10:3,"15,752,578.00",100.00,2017-06-07,2017-07-11,2017-05-30,,Laxmi Capital Market Ltd,Closed,,
163,HAMRO,Hamro Bikas Bank Limited,1:2,"3,058,339.00",100.00,2017-05-20,2017-06-24,2017-04-24,,NIBL Capital Markets Ltd.,Closed,,
164,GUFL,Gurkhas Finance Limited,2:1,"2,893,313.00",100.00,2017-05-14,2017-06-24,2017-05-03,,NIBL Capital Markets Ltd.,Closed,,
165,SBI,Nepal SBI Bank Limited,10:4,"19,919,424.00",100.00,2017-05-20,2017-06-24,2017-05-09,2017-08-20,NMB Capital Ltd.,Closed,,
166,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,100:50,"349,994.00",100.00,2017-06-14,2017-07-18,2017-05-31,2017-09-14,NMB Capital Limited,Closed,,
167,KMBL,Kamana Bikas Bank Limited,10:3,"2,413,137.00",100.00,2017-06-24,2017-07-29,2017-06-13,,NIBL Capital Market Ltd.,Closed,,
168,SBBLJ,Sahayogi Vikas Bank Limited,10:3.5,"1,101,135.00",100.00,2017-05-14,2017-06-17,2017-04-28,,NCM Merchant Banking Ltd.,Closed,,
169,SIL,Siddhartha Insurance Limited,5.2:1,"862,125.00",100.00,2017-05-10,2017-06-13,2017-04-28,,Laxmi Capital Market Ltd.,Closed,,
170,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,2:1,"1,322,500.00",100.00,2017-05-10,2017-06-13,2017-04-12,,Global IME Capital Limited,Closed,,
171,JBBL,Jyoti Bikash Bank Limited,1:1,"11,043,171.00",100.00,2017-05-10,2017-06-13,2017-04-27,,Siddhartha Capital Limited,Closed,,
172,TNBL,Tinau Development Bank Limited,10:3.5,"1,194,796.00",100.00,2017-05-01,2017-06-04,2017-04-19,,Siddhartha Capital Limited,Closed,,
173,NBB,Nepal Bangladesh Bank Limited,10:8,"32,094,068.00",100.00,2017-04-19,2017-05-23,2017-03-30,2021-03-18,Global IME Capital Limited,Closed,,
174,SANIMA,Sanima Bank Limited,10:3,"15,917,617.00",100.00,2017-04-29,2017-06-03,2017-03-31,,CBIL Capital Ltd.,Closed,,
175,GBBL,Garima Bikas Bank Limited,10:7,"9,076,297.00",100.00,2017-04-26,2017-05-30,2017-04-12,2017-07-17,Ace Capital Limited,Closed,,
176,NBL,Nepal Bank Limited,100:23.74,"15,431,840.00",100.00,2017-04-19,2017-05-23,2017-04-11,2017-07-24,Civil Capital Market lImited,Closed,,
177,SDBL,Siddhartha Development Bank Limited,10:6,"8,515,006.00",100.00,2017-04-19,2017-05-23,2017-04-09,,Nabil Investment Banking Limited,Closed,,
178,LBL,Laxmi Bank Limited,1:1,"31,590,304.00",100.00,2017-04-15,2017-05-20,2017-03-31,,Siddhartha Capital Limited,Closed,,
179,CZBIL,Citizens Bank International Limited,10:2.5,"13,843,379.00",100.00,2017-04-05,2017-05-10,2017-03-09,,Sanima Capital Ltd.,Closed,,
180,PRIN,Prabhu Insurance Company Limited,2:1,"1,925,079.00",100.00,2017-04-11,2017-05-15,2017-03-19,,Prabhu Capital Limited,Closed,,
181,NICA,NIC Asia Bank Limited,100:15,"8,729,475.00",100.00,2017-03-28,2017-05-01,2017-03-20,,Civil Capital Markets Ltd.,Closed,,
182,TDBL,Tourism Development Bank Limited,1:1,"9,197,712.00",100.00,2017-03-25,2017-05-08,2017-03-10,,NIBL Capital Market Limited,Closed,,
