S.N.,Symbol,Company,Units,Price Range (Rs.),Cut off Price (Rs.),Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
1,RSML,Reliance Spinning Mills Limited,"770,640.00",608.00 to 912.00,912.00,2024-01-24,2024-01-28,2024-01-28,2026-02-13,Global IME Capital Ltd,Closed,
2,SARBTM,Sarbottam Cement Limited,"2,400,000.00",401.00 to 601.50,,2023-11-22,2023-11-26,2023-11-26,2024-03-18,"Global IME Capital Ltd, NIMB Ace Capital Ltd, Prabhu Capital Ltd",Closed,
